Entity,Access to electricity (% of population),Access to clean fuels for cooking,Renewable energy share in the total final energy consumption (%),Electricity from fossil fuels (TWh),Electricity from nuclear (TWh),Electricity from renewables (TWh),Low-carbon electricity (% electricity),Primary energy consumption per capita (kWh/person),Value_co2_emissions_kt_by_country,gdp_growth,gdp_per_capita,Density\n(P/Km2),Land Area(Km2)
Ethiopia,48.06359,7.0,88.92,0.01,0.0,14.22,99.929726,921.99115,18360.00061,8.364085699,855.7608852,115,1104300.0
Ghana,83.5,22.4,41.8,9.37,0.0,7.32,43.858597,3135.595,20040.00092,6.507774794,2246.625578,137,238533.0
Guinea,42.2,1.6,65.44,0.75,0.0,1.31,63.592236,1201.7898,3950.000048,5.646175568,1058.143368,53,245857.0
Guinea-Bissau,30.961557,1.0,86.24,0.08,0.0,0.0,0.0,703.1273,330.0000131,4.499999992,749.453747,70,36125.0
Haiti,45.990234,4.4,76.4,0.85,0.0,0.17,16.666666,1184.3462,3319.999933,-1.684595081,1312.770636,414,27750.0
Kenya,69.7,17.7,68.08,1.25,0.0,10.24,89.12098,1946.3412,22280.00069,4.981132628,1912.647867,94,580367.0
Lesotho,44.50021,39.3,39.47,0.0,0.0,0.5,100.0,2188.859,769.9999809,-0.381431982,1113.37214,71,30355.0
Liberia,23.1,0.4,87.24,0.31,0.0,0.0,0.0,1100.8312,1179.999948,-2.467297635,672.3404992,53,111369.0
Madagascar,31.04,0.9,82.77,1.1,0.0,0.91,45.273632,678.70404,4119.999886,4.41123213,522.9895243,48,587041.0
Malawi,11.2,1.2,73.02,0.2,0.0,1.5,88.23529,537.8198,1450.000048,5.448181336,591.8463896,203,118484.0
Mali,47.836277,0.9,76.64,2.15,0.0,1.17,35.240963,1231.7151,5829.999924,4.756160808,879.0431873,17,1240192.0
Mauritania,45.830032,43.0,24.7,1.36,0.0,0.46,25.274725,4149.229,3950.000048,5.75993059,1743.302901,5,1030700.0
Mozambique,29.67445,4.8,78.08,3.65,0.0,15.06,80.49172,2446.9106,7500.0,2.31460601,506.6416391,40,799380.0
Myanmar,68.35853,28.9,57.85,12.78,0.0,10.95,46.144123,3197.22,36720.00122,6.750460146,1271.111575,83,676578.0
Namibia,55.17709,46.5,30.69,0.04,0.0,1.32,97.05882,9254.443,4219.99979,-0.88809916,5009.685904,3,824292.0
Nepal,89.9,33.6,77.39,0.0,0.0,6.26,100.0,1700.5831,13449.99981,6.657055428,1194.956876,203,147181.0
Nicaragua,88.05833,55.1,50.71,2.17,0.0,2.31,51.5625,4225.4365,5239.999771,-3.674794578,1926.699694,55,130370.0
Niger,18.974571,2.3,80.83,0.56,0.0,0.05,8.196721,468.4848,2150.000095,5.941396863,554.0993893,19,1267000.0
Nigeria,55.4,12.9,81.4,23.16,0.0,8.49,26.824644,2482.8318,115279.9988,2.208429277,2229.858652,226,923768.0
Pakistan,74.12769,47.8,43.36,86.44,9.07,40.52,36.455193,4400.1157,190570.0073,1.144749605,1288.556325,287,796095.0
Papua New Guinea,59.662975,9.1,53.09,3.16,0.0,1.28,28.828829,3159.5166,7579.999924,4.480430608,2820.306397,20,462840.0
Rwanda,40.368607,1.9,77.86,0.55,0.0,0.47,46.078434,525.5729,1330.000043,9.460682482,820.1492886,525,26338.0
Sao Tome and Principe,74.9672,3.0,37.09,0.08,0.0,0.01,11.111111,3418.4949,150.000006,2.210855833,1987.579702,242,836.0
Senegal,70.4,24.7,37.2,4.45,0.0,0.72,13.926498,2753.3909,10619.99989,4.402406836,1430.148259,87,196722.0
Sierra Leone,22.7,0.7,75.44,0.02,0.0,0.19,90.4762,513.0044,899.9999762,5.254241203,521.7548367,111,71740.0
Solomon Islands,69.80942,9.2,48.39,0.1,0.0,0.0,0.0,2027.3756,360.0000143,1.204049986,2344.048976,25,28896.0
Somalia,49.2,2.9,95.03,0.33,0.0,0.02,5.714286,227.57283,689.9999976,8.081440022,419.3948077,25,637657.0
South Africa,85.0,86.3,10.5,208.39,13.6,12.57,11.15706,25511.209,439640.0146,0.113053697,6624.761865,49,1219090.0
Sudan,53.96254,53.6,62.23,5.98,0.0,10.33,63.33538,2459.3628,20620.00084,-2.178251045,610.9278615,25,1861484.0
Togo,52.36311,9.25,76.21,0.45,0.0,0.25,35.714287,1304.0579,2369.999886,5.459921448,893.3524541,152,56785.0
Uganda,41.3,0.5,90.22,0.09,0.0,4.24,97.92147,811.62756,5860.000134,6.438745034,798.5857341,229,241038.0
Vanuatu,64.59019,8.0,31.86,0.05,0.0,0.02,28.571428,3154.4717,209.9999934,3.912534737,3116.297759,25,12189.0
Zambia,43.0,11.2,84.5,2.05,0.0,12.62,86.0259,2983.8816,6800.000191,1.441306026,1305.001031,25,752618.0
Zimbabwe,46.781475,30.1,81.5,3.66,0.0,4.58,55.582527,3003.6553,11760.00023,-6.144236314,1316.740657,38,390757.0
